Jun 01
895.33.752.33:5974 -> 1
901.18.919.12:5807 -> 1
268.82.665.50:6202 -> 1
745.41.553.21:4925 -> 1
497.97.988.31:6636 -> 1
608.37.179.94:6715 -> 1
335.95.645.32:6284 -> 1
10.43.466.53:6937 -> 1
930.68.543.89:5825 -> 1
271.58.635.18:5758 -> 1
847.39.216.22:6665 -> 1
698.84.382.6:4362 -> 1
828.85.492.15:6281 -> 1
719.96.787.8:4897 -> 1
112.65.132.41:4869 -> 1
376.95.120.45:4335 -> 1
609.89.179.46:4444 -> 1
257.63.94.92:4928 -> 1
783.83.33.92:5184 -> 1
730.30.210.65:5167 -> 1
698.13.580.48:4394 -> 1
1.55.405.18:6734 -> 1
427.89.843.79:4664 -> 1
95.83.314.79:6429 -> 1
671.34.88.77:6167 -> 1
144.82.578.19:4054 -> 1
487.32.404.51:6471 -> 1
318.45.457.1:4048 -> 1
556.73.608.23:4827 -> 1
480.59.624.70:6589 -> 1
355.96.29.84:6299 -> 1
423.9.970.68:6251 -> 1
498.19.627.73:5292 -> 1
913.40.528.53:6213 -> 1
968.15.687.72:6690 -> 1
716.2.387.60:5079 -> 1
526.6.731.53:4816 -> 1
757.85.60.5:6411 -> 1
870.86.843.69:5813 -> 1
716.28.117.20:5763 -> 1
717.43.313.51:6636 -> 1
105.41.680.58:5863 -> 1
375.44.83.47:6488 -> 1
321.5.546.40:4186 -> 1
307.68.746.12:6881 -> 1
409.22.958.4:4235 -> 1
977.67.697.27:5449 -> 1
862.41.874.43:6258 -> 1
746.6.283.33:4659 -> 1
892.26.938.90:4601 -> 1
717.85.172.20:4824 -> 1
81.55.490.39:6948 -> 1
635.42.835.2:4531 -> 1
788.82.329.74:6264 -> 1
542.88.286.25:4882 -> 1
33.30.112.60:5494 -> 1
445.2.143.2:6507 -> 1
56.5.179.66:4603 -> 1
439.53.378.51:4065 -> 1
133.57.297.98:4973 -> 1
400.34.338.84:5161 -> 1
67.48.333.74:5050 -> 1
607.11.335.89:6446 -> 1
306.12.261.97:6874 -> 1
699.95.850.27:6435 -> 1
104.51.220.90:5422 -> 1
922.95.255.86:6638 -> 1
571.36.1.56:5377 -> 1
632.89.697.25:5751 -> 1
635.81.585.57:4566 -> 1
147.72.996.35:5372 -> 1
943.91.772.33:5418 -> 1
225.63.202.58:4652 -> 1
312.83.576.80:4473 -> 1
495.13.263.24:4451 -> 1
712.85.745.25:6172 -> 1
53.5.839.21:4405 -> 1
467.79.258.46:4230 -> 1
789.24.116.18:6634 -> 1
321.43.849.11:4967 -> 1
922.77.26.31:4744 -> 1
849.85.389.23:5924 -> 1
732.26.14.19:6607 -> 1
358.75.676.60:4747 -> 1
367.50.369.15:4634 -> 1
768.19.821.38:6357 -> 1
439.5.499.61:4684 -> 1
568.4.953.43:4227 -> 1
222.25.792.66:4867 -> 1
949.19.501.28:5544 -> 1
385.53.812.67:4205 -> 1
606.16.451.55:6805 -> 1
152.13.294.50:4113 -> 1
585.44.486.94:6200 -> 1
323.16.971.71:6429 -> 1
980.16.214.21:6378 -> 1
25.56.153.6:5980 -> 1
784.48.173.20:4996 -> 1
389.69.507.47:5932 -> 1
940.93.12.19:6585 -> 1
220.84.879.79:4920 -> 1
643.37.518.78:6197 -> 1
237.87.613.51:6628 -> 1
377.7.197.52:4717 -> 1
664.71.463.36:6998 -> 1
194.16.773.11:6573 -> 1
732.91.176.91:4490 -> 1
715.96.97.19:6009 -> 1
250.1.404.15:5906 -> 1
379.48.379.12:4676 -> 1
797.79.656.57:6158 -> 1
